Circle,SF,MaxRSSI,MinRSSI,AverageRSSI,MedianRSSI,MaxSnr,MinSnr,AverageSnr,MedianSNR,AverageAccuracy,PDR,Latitude,Longitude,Measurements
100,7,-92,-107,-97.24,-98.0,10.0,5.5,8.176,8.625,4.4,100.0,37.9682,23.766,10
100,7,-81,-97,-87.065,-87.0,10.25,6.75,8.503,8.625,4.2,100.0,37.9677,23.7663,10
100,7,-79,-89,-81.712,-83.0,10.25,6.75,8.588,9.5,9.393,100.0,37.9676,23.7668,12
100,7,-79,-97,-88.0,-87.5,10.5,7.0,9.1,9.25,4.0,100.0,37.9675,23.7673,10
100,7,-85,-92,-87.245,-87.0,10.5,7.25,8.699,8.625,4.2,100.0,37.9677,23.7678,10
100,7,-85,-89,-87.1,-87.5,10.0,7.25,8.75,9.125,4.0,100.0,37.968,23.7682,10
100,7,-82,-94,-85.265,-85.0,10.25,7.25,9.224,9.5,4.2,100.0,37.9685,23.7683,10
100,7,-75,-93,-80.8,-79.5,10.25,6.75,8.6,8.75,4.0,100.0,37.9689,23.768,10
100,7,-71,-95,-82.182,-82,10.75,7.25,9.182,9.25,4.0,73.3,37.9692,23.7674,11
100,7,-64,-85,-71.38,-71.5,10.25,5.75,8.165,8.625,6.396,90.9,37.9692,23.7668,10
100,7,-73,-83,-76.735,-77.0,10.75,7.75,9.126,9.25,4.2,90.9,37.969,23.7663,10
100,7,-88,-109,-92.34,-92.5,10.0,6.0,8.4,9.0,8.966,100.0,37.9687,23.766,10
100,8,-77,-87,-83.2,-85.0,12.0,8.0,10.225,10.5,3.79,100.0,37.9678,23.7663,10
100,8,-82,-94,-81.91,-85.0,11.75,8.0,9.838,11.25,6.863,100.0,37.9676,23.7666,10
100,8,-86,-106,-87.85,-90.0,11.75,5.75,9.555,10.25,6.248,100.0,37.9675,23.7672,10
100,8,-83,-106,-91.1,-90.0,11.75,8.5,10.4,10.5,3.79,100.0,37.9677,23.7679,10
100,8,-81,-94,-80.9,-84.0,12.0,8.25,9.835,10.75,6.863,100.0,37.968,23.7681,10
100,8,-82,-95,-86.5,-90.0,11.0,7.5,9.08,9.25,7.346,100.0,37.9685,23.7682,10
100,8,-81,-94,-84.27,-90.0,12.0,7.25,9.555,11.0,15.665,100.0,37.9689,23.7679,10
100,8,-71,-86,-79.07,-81.0,11.25,7.5,9.188,9.25,4.405,90.9,37.9692,23.7675,10
100,8,-64,-82,-65.48,-68.0,10.25,6.75,8.26,8.75,6.863,90.9,37.9692,23.7669,10
100,8,-68,-79,-74.34,-76.0,10.5,6.75,9.408,9.75,4.405,100.0,37.969,23.7664,10
100,8,-88,-106,-92.5,-90.0,9.75,5.25,7.75,7.375,3.79,100.0,37.9686,23.7661,10
100,8,-85,-99,-85.44,-88.0,9.75,7.25,8.108,8.5,6.248,100.0,37.9681,23.766,10
