Area,SF,Rssi,Snr,Latitude,Longitude,Distance
east,7,-116,-7.0,37.9676,23.7807,1195.194
east,7,-117,-7.25,37.9671,23.7821,1322.367
east,7,-117,-2.25,37.9669,23.7824,1351.01
east,7,-116,-0.75,37.9668,23.7824,1352.39
east,7,-117,-5.5,37.9667,23.7831,1414.677
east,7,-118,-4.5,37.9667,23.7834,1440.755
east,7,-118,-3.75,37.9666,23.7834,1442.221
east,7,-117,-3.0,37.9665,23.7836,1461.125
east,7,-117,-6.25,37.9664,23.7838,1480.079
east,8,-115,-9.5,37.9684,23.7811,1227.287
east,8,-118,-11.75,37.9683,23.7813,1244.827
east,8,-116,-8.5,37.9671,23.782,1313.65
east,8,-113,-0.5,37.9668,23.7825,1361.084
east,8,-116,-5.75,37.9667,23.7829,1397.296
east,8,-119,-9.5,37.9667,23.7831,1414.677
east,8,-117,-9.75,37.9666,23.7834,1442.221
east,8,-116,-6.25,37.9665,23.7836,1461.125
east,8,-116,-5.0,37.9664,23.7838,1480.079
east,8,-117,-6.0,37.9665,23.784,1495.845
east,8,-111,-10.5,37.9664,23.784,1497.423
east,8,-117,-10.75,37.9662,23.785,1587.415
east,9,-118,-9.25,37.9692,23.7746,664.116
east,9,-118,-6.5,37.9694,23.7747,676.249
east,9,-118,-10.75,37.9708,23.7761,834.391
east,9,-116,-9.5,37.9684,23.7778,938.009
east,9,-118,-13.25,37.9685,23.7778,938.13
east,9,-116,-8.5,37.9675,23.7795,1091.204
east,9,-118,-7.75,37.9674,23.7795,1092.233
east,9,-118,-6.5,37.9677,23.7808,1203.21
east,9,-119,-8.75,37.9677,23.7809,1211.96
east,9,-116,-12.0,37.9675,23.7821,1318.401
east,9,-116,-11.5,37.9671,23.7821,1322.367
east,9,-116,-11.0,37.9668,23.7831,1413.27
east,9,-117,-2.75,37.9666,23.7836,1459.593
east,9,-118,0.75,37.9665,23.7836,1461.125
east,9,-116,-7.75,37.9665,23.7841,1504.528
east,9,-117,-9.0,37.9661,23.785,1589.135
east,9,-116,-12.5,37.9661,23.7856,1641.093
east,10,-116,-4.0,37.9692,23.7746,664.116
east,10,-118,-9.5,37.9691,23.7747,671.339
east,10,-117,-15.0,37.9684,23.7778,938.009
east,10,-119,-11.5,37.9679,23.779,1044.435
east,10,-117,-11.75,37.9675,23.7795,1091.204
east,10,-115,-11.75,37.9674,23.7795,1092.233
east,10,-118,-14.5,37.9676,23.7808,1203.938
east,10,-115,-7.75,37.9676,23.7809,1212.683
east,10,-119,-7.5,37.9672,23.782,1312.512
east,10,-115,-7.25,37.9671,23.782,1313.65
east,10,-117,-11.0,37.9675,23.7821,1318.401
east,10,-117,-9.75,37.9671,23.7821,1322.367
east,10,-116,-7.5,37.9668,23.7831,1413.27
east,10,-110,-6.5,37.9666,23.7841,1503.041
east,10,-117,-7.25,37.9661,23.785,1589.135
east,10,-117,-9.25,37.9661,23.7856,1641.093
east,10,-119,-11.0,37.966,23.7862,1694.776
east,10,-118,-12.75,37.966,23.7863,1703.437
north,7,-116,-4.25,37.9708,23.7671,271.565
north,7,-111,5.0,37.9708,23.7671,271.565
north,7,-115,-3.5,37.9708,23.7672,271.707
north,7,-116,-5.0,37.9712,23.7674,317.137
north,7,-117,-4.5,37.9704,23.7701,347.478
north,7,-117,-6.25,37.9715,23.7674,350.392
north,7,-116,-7.25,37.9715,23.7675,351.159
north,7,-118,-4.75,37.9715,23.7693,399.103
north,7,-116,-6.25,37.9722,23.7711,552.717
north,7,-116,-7.75,37.9722,23.7712,558.319
north,8,-117,-2.25,37.9708,23.7671,271.565
north,8,-112,4.5,37.9708,23.7671,271.565
north,8,-118,-9.0,37.9711,23.7673,305.428
north,8,-116,-9.0,37.9711,23.7674,306.057
north,8,-117,-10.0,37.9712,23.7674,317.137
north,8,-116,-8.5,37.9714,23.7674,339.304
north,8,-118,-4.25,37.9704,23.77,340.891
north,8,-114,-3.75,37.9705,23.7699,342.052
north,8,-117,-3.0,37.9704,23.7701,347.478
north,8,-117,-6.5,37.9715,23.7674,350.392
north,8,-118,-9.0,37.9714,23.7692,385.138
north,8,-117,-7.75,37.9721,23.7711,544.167
north,8,-118,-11.25,37.9722,23.771,547.197
north,8,-116,-2.75,37.973,23.7693,551.051
north,8,-116,-1.0,37.9728,23.7699,551.586
north,8,-117,-9.25,37.9722,23.7711,552.717
north,8,-117,-7.25,37.9722,23.7712,558.319
north,8,-108,-7.25,37.9731,23.7693,561.48
north,8,-118,-8.5,37.9731,23.7694,564.552
north,8,-117,-2.0,37.9729,23.77,565.452
north,8,-116,-8.25,37.9734,23.7682,568.908
north,8,-116,-1.5,37.9733,23.7688,569.405
north,8,-116,-10.25,37.9734,23.7683,570.459
north,8,-115,-2.5,37.9733,23.7689,571.763
north,8,-117,-8.75,37.9727,23.7707,576.829
north,9,-113,4.75,37.9695,23.7694,238.313
north,9,-112,3.25,37.9696,23.7694,244.42
north,9,-117,-12.5,37.9708,23.7671,271.565
north,9,-110,5.0,37.9708,23.7672,271.707
north,9,-118,-8.0,37.9711,23.7674,306.057
north,9,-109,-12.5,37.9712,23.7675,317.985
north,9,-118,-4.75,37.9703,23.77,333.587
north,9,-118,-4.75,37.9703,23.7701,340.315
north,9,-111,-6.75,37.9699,23.7705,343.882
north,9,-115,-3.75,37.9699,23.7706,351.508
north,9,-115,0.25,37.9699,23.771,382.498
north,9,-117,-11.0,37.9714,23.7693,389.405
north,9,-119,-6.5,37.9699,23.7711,390.354
north,9,-118,-11.25,37.9715,23.7692,394.941
north,9,-118,-6.75,37.9733,23.7682,557.952
north,9,-116,-5.5,37.9733,23.7688,569.405
north,9,-118,-10.0,37.9727,23.7707,576.829
north,9,-115,-9.5,37.9725,23.7714,595.186
north,9,-118,-10.5,37.9715,23.7727,602.562
north,9,-117,-10.75,37.9735,23.7695,609.275
north,9,-118,-12.5,37.9733,23.7702,613.078
north,9,-119,-9.5,37.9737,23.7689,614.635
north,9,-117,-13.75,37.973,23.771,619.151
north,10,-109,-7.75,37.9695,23.7694,238.313
north,10,-109,-3.75,37.9708,23.7671,271.565
north,10,-111,3.25,37.9708,23.7671,271.565
north,10,-118,-0.25,37.9708,23.7671,271.565
north,10,-116,-4.0,37.9711,23.7674,306.057
north,10,-118,-10.25,37.9712,23.7674,317.137
north,10,-116,-5.5,37.9703,23.7699,326.955
north,10,-117,-11.25,37.9704,23.7699,334.404
north,10,-114,-2.25,37.97,23.7705,349.56
north,10,-118,-7.75,37.9699,23.7711,390.354
north,10,-116,-12.25,37.9715,23.7692,394.941
north,10,-118,-9.5,37.9727,23.7707,576.829
north,10,-117,-14.75,37.9725,23.7713,589.673
north,10,-118,-12.5,37.9725,23.7714,595.186
north,10,-118,-10.75,37.9715,23.7727,602.562
north,10,-116,-0.5,37.9736,23.7689,603.895
north,10,-118,-8.25,37.9735,23.7695,609.275
north,10,-116,-11.25,37.973,23.771,619.151
north,10,-118,-11.75,37.9734,23.7702,623.065
north,10,-117,-15.5,37.9742,23.7677,651.756
south,7,-100,9.25,37.965,23.7657,393.012
south,7,-95,9.0,37.9648,23.7657,414.197
south,7,-104,3.5,37.9648,23.7656,416.878
south,7,-105,1.75,37.9635,23.7652,565.248
south,7,-116,1.0,37.9625,23.7645,690.073
south,7,-117,-6.0,37.9616,23.7651,771.607
south,7,-116,-7.5,37.9604,23.7657,893.331
south,7,-115,-0.5,37.9602,23.7663,909.808
south,7,-110,3.25,37.9601,23.7665,919.727
south,7,-116,-6.25,37.9601,23.7679,920.899
south,7,-113,3.0,37.9601,23.7681,922.401
south,7,-116,-4.25,37.96,23.7676,930.377
south,7,-117,-8.75,37.9599,23.7682,945.396
south,8,-112,5.0,37.965,23.7657,393.012
south,8,-94,8.0,37.965,23.7656,395.836
south,8,-101,9.0,37.9648,23.7656,416.878
south,8,-115,-0.25,37.9635,23.7652,565.248
south,8,-117,-3.5,37.9635,23.7651,567.893
south,8,-116,-3.25,37.9625,23.7644,693.017
south,8,-118,-8.75,37.9621,23.7644,734.979
south,8,-119,-9.25,37.9616,23.765,773.646
south,8,-117,-6.5,37.9615,23.7649,786.554
south,8,-117,-6.5,37.9604,23.7657,893.331
south,8,-109,5.5,37.9602,23.7663,909.808
south,8,-116,-2.25,37.9601,23.7665,919.727
south,8,-116,-1.25,37.96,23.7676,930.377
south,8,-116,-2.5,37.96,23.7679,931.987
south,8,-118,-8.25,37.9599,23.7682,945.396
south,8,-117,-9.25,37.9599,23.7683,946.33
south,9,-91,11.25,37.965,23.7658,390.363
south,9,-95,13.0,37.9649,23.7656,406.341
south,9,-99,10.25,37.9648,23.7656,416.878
south,9,-109,-4.5,37.9639,23.7649,531.868
south,9,-119,-6.75,37.9638,23.7652,533.461
south,9,-117,-3.0,37.963,23.7648,628.942
south,9,-117,-2.5,37.9618,23.764,778.176
south,9,-118,-8.5,37.961,23.7641,859.37
south,9,-117,-12.0,37.961,23.764,862.093
south,9,-118,-12.25,37.9607,23.7645,881.477
south,9,-117,-4.5,37.9602,23.7663,909.808
south,9,-115,-4.5,37.9602,23.7661,911.327
south,9,-118,-7.0,37.96,23.7676,930.377
south,9,-118,-0.75,37.9599,23.7677,941.933
south,9,-118,-3.25,37.9599,23.7678,942.464
south,10,-98,10.75,37.9656,23.7658,327.131
south,10,-97,6.75,37.9648,23.7656,416.878
south,10,-115,1.75,37.9642,23.7654,485.74
south,10,-113,0.5,37.9638,23.7652,533.461
south,10,-117,-8.75,37.963,23.7648,628.942
south,10,-117,-5.25,37.963,23.7647,631.807
south,10,-117,-9.25,37.9619,23.7641,764.708
south,10,-109,-7.5,37.9619,23.764,767.766
south,10,-116,-9.75,37.9618,23.764,778.176
south,10,-118,-11.25,37.961,23.764,862.093
south,10,-116,-13.25,37.9607,23.7645,881.477
south,10,-116,-1.75,37.9603,23.7661,900.26
south,10,-109,-2.0,37.9602,23.7663,909.808
south,10,-116,-5.75,37.9602,23.7661,911.327
south,10,-115,-4.0,37.96,23.7676,930.377
south,10,-117,-7.75,37.9599,23.7677,941.933
south,10,-112,-10.75,37.9599,23.7678,942.464
south,10,-117,-6.25,37.9598,23.7678,953.56
west,7,-105,8.0,37.9691,23.7647,225.968
west,7,-109,5.75,37.9696,23.7642,289.293
west,7,-112,-0.75,37.9701,23.7636,362.829
west,7,-109,5.0,37.9709,23.7624,499.629
west,7,-116,-3.25,37.9707,23.762,517.37
west,7,-104,7.5,37.971,23.7614,579.612
west,7,-105,5.75,37.971,23.7613,587.185
west,7,-103,5.25,37.9715,23.7604,683.364
west,7,-115,-3.5,37.9717,23.7599,732.408
west,7,-116,-5.0,37.9716,23.7598,734.454
west,7,-117,-7.75,37.9717,23.7598,739.975
west,7,-117,-5.5,37.9719,23.7591,804.288
west,7,-115,-2.5,37.972,23.7586,848.029
west,8,-112,1.0,37.9691,23.7648,217.831
west,8,-117,-3.75,37.9696,23.7643,281.622
west,8,-112,5.75,37.9696,23.7642,289.293
west,8,-112,0.75,37.9701,23.7636,362.829
west,8,-118,-9.5,37.9709,23.7624,499.629
west,8,-116,-7.25,37.9707,23.762,517.37
west,8,-112,0.25,37.971,23.7613,587.185
west,8,-111,6.5,37.9715,23.7604,683.364
west,8,-117,-9.5,37.9718,23.7591,798.902
west,8,-116,0.5,37.9719,23.7591,804.288
west,8,-117,-1.25,37.972,23.7586,848.029
west,8,-118,-8.75,37.9722,23.7583,881.781
west,8,-115,-11.75,37.972,23.7575,933.882
west,9,-108,7.75,37.9709,23.7622,514.181
west,9,-116,-1.5,37.9709,23.7621,521.526
west,9,-101,6.0,37.9711,23.7612,600.361
west,9,-109,3.25,37.9715,23.7603,690.912
west,9,-113,-1.0,37.9718,23.7595,768.308
west,9,-119,-6.75,37.9719,23.7592,796.657
west,9,-112,1.0,37.9719,23.7591,804.288
west,9,-117,-2.5,37.972,23.7586,848.029
west,9,-117,-3.75,37.9723,23.7583,887.221
west,9,-119,-10.25,37.9724,23.7577,938.584
west,9,-118,-11.0,37.9725,23.7574,966.998
west,9,-116,-11.25,37.9725,23.7573,974.715
west,9,-119,-6.75,37.9725,23.7571,990.2
west,10,-100,6.75,37.9709,23.7622,514.181
west,10,-106,8.75,37.9711,23.7612,600.361
west,10,-105,6.0,37.9711,23.7611,607.928
west,10,-117,-1.25,37.9715,23.7603,690.912
west,10,-118,-8.25,37.9719,23.7591,804.288
west,10,-115,-1.0,37.972,23.7586,848.029
west,10,-118,-12.25,37.9722,23.7583,881.781
west,10,-118,-10.75,37.9724,23.7577,938.584
